Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Status	# Board Issues	Board Issue	# Library Issues	Library Issue
2018-07-05 15:15:31	683	683.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/400480880	push	false	false	development	397f3954092b37ee234312e44b81b0877034c6b4	46533f7f5f07...397f3954092b	f(avoid error on virtual display when doesn't exist)	CapacitiveSensorSketch.pde	ATTinyCore-master:avr:attinyx5:LTO=disable,TimerClockSource=default,chip=85,clock=8internal,bod=disable	1.8.4	4038	171	0	false	0	0		0	
2018-07-05 15:15:40	683	683.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/400480880	push	false	false	development	397f3954092b37ee234312e44b81b0877034c6b4	46533f7f5f07...397f3954092b	f(avoid error on virtual display when doesn't exist)	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:sam:arduino_due_x_dbg	1.8.5	22824		0	false	0	0		0	
2018-07-05 15:15:47	683	683.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/400480880	push	false	false	development	397f3954092b37ee234312e44b81b0877034c6b4	46533f7f5f07...397f3954092b	f(avoid error on virtual display when doesn't exist)	/home/travis/arduino-sketchbook/libraries/WirelessOregonV2/examples/OregonReceiver/OregonReceiver.ino	MiniCore:avr:328:variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.3			0	false	0	0		0	
2018-07-05 15:15:54	683	683.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/400480880	push	false	false	development	397f3954092b37ee234312e44b81b0877034c6b4	46533f7f5f07...397f3954092b	f(avoid error on virtual display when doesn't exist)	/home/travis/arduino-sketchbook/libraries/WirelessOregonV2/examples/OregonReceiver/OregonReceiver.ino	MiniCore:avr:328:variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.4			0	false	0	0		0	
2018-07-05 15:16:02	683	683.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/400480880	push	false	false	development	397f3954092b37ee234312e44b81b0877034c6b4	46533f7f5f07...397f3954092b	f(avoid error on virtual display when doesn't exist)	/home/travis/arduino-sketchbook/libraries/NanodeUNIO/examples/NanodeUNIO_test/NanodeUNIO_test.pde	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.4	5376	416	2	false	0	0		0	
2018-07-05 15:16:10	683	683.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/400480880	push	false	false	development	397f3954092b37ee234312e44b81b0877034c6b4	46533f7f5f07...397f3954092b	f(avoid error on virtual display when doesn't exist)	/home/travis/arduino-sketchbook/libraries/NanodeUNIO/examples/NanodeUNIO_test/NanodeUNIO_test.pde	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.5	5376	416	2	false	0	0		0	
2018-07-05 15:16:17	683	683.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/400480880	push	false	false	development	397f3954092b37ee234312e44b81b0877034c6b4	46533f7f5f07...397f3954092b	f(avoid error on virtual display when doesn't exist)	/home/travis/arduino-sketchbook/libraries/ArduinoShell/examples/ShellBlink/ShellBlink.ino	mighty-1284p:avr:avr_developers	1.8.3	9514	440	0	false	0	0		0	
2018-07-05 15:16:24	683	683.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/400480880	push	false	false	development	397f3954092b37ee234312e44b81b0877034c6b4	46533f7f5f07...397f3954092b	f(avoid error on virtual display when doesn't exist)	/home/travis/arduino-sketchbook/libraries/ArduinoShell/examples/ShellBlink/ShellBlink.ino	mighty-1284p:avr:avr_developers	1.8.4	9514	440	0	false	0	0		0	
2018-07-05 15:16:31	683	683.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/400480880	push	false	false	development	397f3954092b37ee234312e44b81b0877034c6b4	46533f7f5f07...397f3954092b	f(avoid error on virtual display when doesn't exist)	/home/travis/arduino-sketchbook/libraries/max_7456/examples/HelloWorld/HelloWorld.ino	arduino:avr:uno	1.8.4	5522	282	1	false	0	0		0	
2018-07-05 15:16:38	683	683.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/400480880	push	false	false	development	397f3954092b37ee234312e44b81b0877034c6b4	46533f7f5f07...397f3954092b	f(avoid error on virtual display when doesn't exist)	/home/travis/arduino-sketchbook/libraries/max_7456/examples/HelloWorld/HelloWorld.ino	arduino:avr:uno	1.8.5	5522	282	1	false	0	0		0	
