Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Status	# Board Issues	Board Issue	# Library Issues	Library Issue
2017-06-18 13:47:06	540	540.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/244213649	push	false	false	report-summary	715bb091836978a253a64ed60a786ad1f1e1ea4a	7c9f6d704e39...715bb0918369	Disable errexit when returning early from a function that has it enabled	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:sam:arduino_due_x_dbg	1.8.3	22084		0	false	0	0		0	
2017-06-18 13:47:13	540	540.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/244213649	push	false	false	report-summary	715bb091836978a253a64ed60a786ad1f1e1ea4a	7c9f6d704e39...715bb0918369	Disable errexit when returning early from a function that has it enabled	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MiniCore:avr:328:variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.1	450	9	0	false	0	0		0	
2017-06-18 13:47:20	540	540.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/244213649	push	false	false	report-summary	715bb091836978a253a64ed60a786ad1f1e1ea4a	7c9f6d704e39...715bb0918369	Disable errexit when returning early from a function that has it enabled	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore-master:avr:attinyx5:LTO=disable,TimerClockSource=default,chip=85,clock=8internal,bod=disable	1.8.1	304	9	0	false	0	0		0	
2017-06-18 13:47:27	540	540.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/244213649	push	false	false	report-summary	715bb091836978a253a64ed60a786ad1f1e1ea4a	7c9f6d704e39...715bb0918369	Disable errexit when returning early from a function that has it enabled	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore-master:avr:attinyx5:LTO=disable,TimerClockSource=default,chip=85,clock=8internal,bod=disable	1.8.2	304	9	0	false	0	0		0	
2017-06-18 13:47:37	540	540.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/244213649	push	false	false	report-summary	715bb091836978a253a64ed60a786ad1f1e1ea4a	7c9f6d704e39...715bb0918369	Disable errexit when returning early from a function that has it enabled	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.1	512	9	0	false	0	0		0	
2017-06-18 13:47:45	540	540.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/244213649	push	false	false	report-summary	715bb091836978a253a64ed60a786ad1f1e1ea4a	7c9f6d704e39...715bb0918369	Disable errexit when returning early from a function that has it enabled	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.2	512	9	0	false	0	0		0	
2017-06-18 13:47:51	540	540.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/244213649	push	false	false	report-summary	715bb091836978a253a64ed60a786ad1f1e1ea4a	7c9f6d704e39...715bb0918369	Disable errexit when returning early from a function that has it enabled	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	mighty-1284p:avr:avr_developers	1.8.3	510	9	0	false	0	0		0	
2017-06-18 13:47:58	540	540.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/244213649	push	false	false	report-summary	715bb091836978a253a64ed60a786ad1f1e1ea4a	7c9f6d704e39...715bb0918369	Disable errexit when returning early from a function that has it enabled	MPU9250.ino	arduino:avr:uno	1.8.3	7904	462	1	false	0	0		0	
2017-06-18 13:48:02	540	540.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/244213649	push	false	false	report-summary	715bb091836978a253a64ed60a786ad1f1e1ea4a	7c9f6d704e39...715bb0918369	Disable errexit when returning early from a function that has it enabled	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.5.2	2464	222	0	false	0	0		0	
2017-06-18 13:48:05	540	540.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/244213649	push	false	false	report-summary	715bb091836978a253a64ed60a786ad1f1e1ea4a	7c9f6d704e39...715bb0918369	Disable errexit when returning early from a function that has it enabled	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.5.3	2464	222	0	false	0	0		0	
