Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Status	# Board Issues	Board Issue	# Library Issues	Library Issue
2018-03-12 10:17:43	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	CapacitiveSensorSketch.pde	ATTinyCore-master:avr:attinyx5:LTO=disable,TimerClockSource=default,chip=85,clock=8internal,bod=disable	1.8.4	4038	171	0	false	0	0		0	
2018-03-12 10:17:52	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:sam:arduino_due_x_dbg	1.8.5	22824		0	false	0	0		0	
2018-03-12 10:18:00	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-sketchbook/libraries/WirelessOregonV2/examples/OregonReceiver/OregonReceiver.ino	MiniCore:avr:328:variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.3			0	false	0	0		0	
2018-03-12 10:18:07	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-sketchbook/libraries/WirelessOregonV2/examples/OregonReceiver/OregonReceiver.ino	MiniCore:avr:328:variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.4			0	false	0	0		0	
2018-03-12 10:18:15	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-sketchbook/libraries/NanodeUNIO/examples/NanodeUNIO_test/NanodeUNIO_test.pde	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.4	5376	416	2	false	0	0		0	
2018-03-12 10:18:22	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-sketchbook/libraries/NanodeUNIO/examples/NanodeUNIO_test/NanodeUNIO_test.pde	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.5	5376	416	2	false	0	0		0	
2018-03-12 10:18:29	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-sketchbook/libraries/ArduinoShell/examples/ShellBlink/ShellBlink.ino	mighty-1284p:avr:avr_developers	1.8.3	9514	440	0	false	0	0		0	
2018-03-12 10:18:37	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-sketchbook/libraries/ArduinoShell/examples/ShellBlink/ShellBlink.ino	mighty-1284p:avr:avr_developers	1.8.4	9514	440	0	false	0	0		0	
2018-03-12 10:18:44	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-sketchbook/libraries/max_7456/examples/HelloWorld/HelloWorld.ino	arduino:avr:uno	1.8.4	5522	282	1	false	0	0		0	
2018-03-12 10:18:54	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-sketchbook/libraries/max_7456/examples/HelloWorld/HelloWorld.ino	arduino:avr:uno	1.8.5	5522	282	1	false	0	0		0	
2018-03-12 10:19:01	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.3	444	9	0	false	0	0		0	
2018-03-12 10:19:07	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.4	444	9	0	false	0	0		0	
2018-03-12 10:19:14	648	648.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/352257296	push	false	false	master	c9f56177cd1f352b930580c91ac70888320a1815	22200d530e95...c9f56177cd1f	Fail build if build_sketch passed invalid IDE version	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.5	444	9	0	false	0	0		0	
